,0,1
0,0.39,0.0
1,0.39,0.0
2,0.39,0.0
3,0.39,0.0
4,0.39,0.0
5,0.39,0.0
6,0.39,0.0
7,0.39,0.001
8,0.39,0.003
9,0.339,0.013
10,0.272,0.022
11,0.233,0.016
12,0.2,0.012
13,0.175,0.011
14,0.153,0.011
15,0.14,0.012
